Values, R:100000C:6e-05E:12
Time,Vc
0.2204, 0.432802
0.2206, 0.433188
0.2208, 0.433573
0.221, 0.433959
0.2212, 0.434344
0.2214, 0.43473
0.2216, 0.435115
0.2218, 0.435501
0.222, 0.435886
0.2222, 0.436272
0.2224, 0.436657
0.2226, 0.437043
0.2228, 0.437428
0.223, 0.437814
0.2232, 0.438199
0.2234, 0.438584
0.2236, 0.43897
0.2238, 0.439355
0.224, 0.43974
0.2242, 0.440126
0.2244, 0.440511
0.2246, 0.440896
0.2248, 0.441282
0.225, 0.441667
0.2252, 0.442052
0.2254, 0.442438
0.2256, 0.442823
0.2258, 0.443208
0.226, 0.443593
0.2262, 0.443978
0.2264, 0.444364
0.2266, 0.444749
0.2268, 0.445134
0.227, 0.445519
0.2272, 0.445904
0.2274, 0.446289
0.2276, 0.446675
0.2278, 0.44706
0.228, 0.447445
0.2282, 0.44783
0.2284, 0.448215
0.2286, 0.4486
0.2288, 0.448985
0.229, 0.44937
0.2292, 0.449755
0.2294, 0.45014
0.2296, 0.450525
0.2298, 0.45091
0.23, 0.451295
0.2302, 0.45168
0.2304, 0.452065
0.2306, 0.45245
0.2308, 0.452835
0.231, 0.45322
0.2312, 0.453604
0.2314, 0.453989
0.2316, 0.454374
0.2318, 0.454759
0.232, 0.455144
0.2322, 0.455529
0.2324, 0.455913
0.2326, 0.456298
0.2328, 0.456683
0.233, 0.457068
0.2332, 0.457453
0.2334, 0.457837
0.2336, 0.458222
0.2338, 0.458607
0.234, 0.458991
0.2342, 0.459376
0.2344, 0.459761
0.2346, 0.460146
0.2348, 0.46053
0.235, 0.460915
0.2352, 0.461299
0.2354, 0.461684
0.2356, 0.462069
0.2358, 0.462453
0.236, 0.462838
0.2362, 0.463222
0.2364, 0.463607
0.2366, 0.463992
0.2368, 0.464376
0.237, 0.464761
0.2372, 0.465145
0.2374, 0.46553
0.2376, 0.465914
0.2378, 0.466298
0.238, 0.466683
0.2382, 0.467067
0.2384, 0.467452
0.2386, 0.467836
0.2388, 0.468221
0.239, 0.468605
0.2392, 0.468989
0.2394, 0.469374
0.2396, 0.469758
0.2398, 0.470142
0.24, 0.470527
0.2402, 0.470911
0.2404, 0.471295
0.2406, 0.47168
0.2408, 0.472064
0.241, 0.472448
0.2412, 0.472832
0.2414, 0.473217
0.2416, 0.473601
0.2418, 0.473985
0.242, 0.474369
0.2422, 0.474753
0.2424, 0.475138
0.2426, 0.475522
0.2428, 0.475906
0.243, 0.47629
0.2432, 0.476674
0.2434, 0.477058
0.2436, 0.477442
0.2438, 0.477826
0.244, 0.47821
0.2442, 0.478595
0.2444, 0.478979
0.2446, 0.479363
0.2448, 0.479747
0.245, 0.480131
0.2452, 0.480515
0.2454, 0.480899
0.2456, 0.481283
0.2458, 0.481667
0.246, 0.48205
0.2462, 0.482434
0.2464, 0.482818
0.2466, 0.483202
0.2468, 0.483586
0.247, 0.48397
0.2472, 0.484354
0.2474, 0.484738
0.2476, 0.485121
0.2478, 0.485505
0.248, 0.485889
0.2482, 0.486273
0.2484, 0.486657
0.2486, 0.48704
0.2488, 0.487424
0.249, 0.487808
0.2492, 0.488192
0.2494, 0.488575
0.2496, 0.488959
0.2498, 0.489343
0.25, 0.489727
0.2502, 0.49011
0.2504, 0.490494
0.2506, 0.490877
0.2508, 0.491261
0.251, 0.491645
0.2512, 0.492028
0.2514, 0.492412
0.2516, 0.492796
0.2518, 0.493179
